District,#Seats,Total Votes,Blank Votes,Dem,Rep,Prog,Fusion,Other/Ind,Contested
ADD-1,2,7446,1874,1,0,1,1,0,Y
ADD-2,1,2437,390,1,0,0,0,0,N
ADD-3,2,8610,1026,2,2,0,0,0,Y
ADD-4,2,9852,1394,1,2,0,1,0,Y
ADD-5,1,2329,69,1,1,0,0,0,Y
ADD-RUT,1,2034,270,0,0,0,0,1,N
BEN-1,1,1836,57,1,0,0,0,1,Y
BEN-2-1,2,6244,1997,2,0,0,0,0,N
BEN-2-2,2,6098,2174,1,1,0,0,0,N
BEN-3,1,1972,411,1,0,0,0,0,N
BEN-4,2,8730,2319,2,1,0,0,0,Y
BEN-RUT,1,2306,131,1,1,0,0,0,Y
CAL-1,1,2287,413,0,1,0,0,0,N
CAL-2,1,2040,67,1,1,0,0,0,Y
CAL-3,2,6104,865,2,2,0,0,1,Y
CAL-4,2,6766,1473,1,2,0,0,0,Y
CAL-WAS,1,2629,47,1,1,0,0,0,Y
CHI-1,2,2564,312,1,0,1,0,1,Y
CHI-2,2,11418,1558,2,2,0,0,1,Y
CHI-3,2,10670,1263,2,2,0,0,0,Y
CHI-4-1,1,2642,514,1,0,0,0,0,N
CHI-4-2,1,2687,540,1,0,0,0,0,N
CHI-5-1,1,2682,465,1,0,0,0,0,N
CHI-5-2,1,2570,315,1,0,0,0,1,Y
CHI-6-1,2,9002,1494,2,2,0,0,0,Y
CHI-6-2,1,2316,420,1,0,0,0,0,N
CHI-6-3,2,7324,2526,2,0,0,0,0,N
CHI-6-4,2,4862,1633,0,0,2,0,0,N
CHI-6-5,2,9940,3126,2,0,0,0,0,N
CHI-6-6,1,1125,241,1,0,0,0,0,N
CHI-6-7,2,6476,2069,1,0,1,1,0,Y
CHI-7-1,1,2632,481,1,0,0,0,0,N
CHI-7-2,1,3037,167,1,1,0,0,0,Y
CHI-7-3,1,2550,449,1,0,0,0,0,N
CHI-7-4,1,2363,374,1,0,0,0,0,N
CHI-8-1,2,9614,3308,1,1,0,0,1,Y
CHI-8-2,2,10246,1372,2,2,0,0,0,Y
CHI-8-3,1,2708,161,1,1,0,0,0,Y
CHI-9-1,2,6778,1419,2,2,0,0,0,Y
CHI-9-2,2,9182,3751,1,1,0,0,0,N
CHI-10,2,8868,2633,0,2,0,0,0,N
ESX-CAL,1,1840,57,1,1,0,0,0,Y
ESX-CAL-ORL,1,1931,303,0,1,0,0,0,N
FRA-1,1,2449,70,1,1,0,0,0,Y
FRA-2,1,2431,96,0,1,0,0,1,Y
FRA-3-1,2,7170,1136,2,2,0,0,0,Y
FRA-3-2,1,2129,82,1,1,0,0,0,Y
FRA-4,2,7076,1140,2,2,0,0,0,Y
FRA-5,2,7006,1440,1,1,1,1,1,Y
FRA-6,1,2275,71,1,1,0,0,0,Y
FRA-7,1,1892,31,0,1,0,1,0,Y
GI-CHI,2,9870,1955,2,2,0,0,0,Y
LAM-1,1,2893,446,0,1,0,0,0,N
LAM-2,2,7738,1535,2,2,0,0,0,Y
LAM-3,1,2334,229,0,0,0,1,0,N
LAM-WAS,2,8912,1670,2,1,1,0,1,Y
ORA-1,2,8812,2074,0,2,0,2,0,Y
ORA-2,1,2099,322,1,0,0,0,0,N
ORA-CAL,1,2172,74,1,1,0,0,0,Y
ORA-WAS-ADD,2,8400,1401,2,1,0,0,1,Y
ORL-1,2,7484,2540,0,1,0,1,0,N
ORL-2,2,7070,993,2,2,0,0,0,Y
ORL-CAL,2,7978,1283,2,2,0,0,0,Y
ORL-LAM,1,2040,38,0,1,0,1,0,Y
RUT-1,1,1705,241,0,1,0,0,0,N
RUT-2,2,8766,1381,2,2,0,0,1,Y
RUT-3,2,7000,1753,0,2,0,0,0,N
RUT-4,1,2320,505,0,1,0,0,0,N
RUT-5-1,1,2279,449,0,1,0,0,0,N
RUT-5-2,1,1861,335,0,1,0,0,0,N
RUT-5-3,1,1357,72,1,1,0,0,0,Y
RUT-5-4,1,1684,357,0,1,0,0,0,N
RUT-6,2,7600,2739,1,1,0,0,0,N
RUT-BEN,1,2458,51,0,1,0,1,0,Y
RUT-WDR-1,1,2617,572,0,1,0,0,0,N
RUT-WDR-2,1,2558,94,1,1,0,0,0,Y
WAS-1,2,7276,1234,1,2,0,1,0,Y
WAS-2,2,8580,1899,0,1,0,2,0,Y
WAS-3,2,6580,1733,0,1,0,1,1,Y
WAS-4,2,9668,1747,2,0,2,0,0,Y
WAS-5,1,2765,75,1,1,1,0,1,Y
WAS-6,1,2597,176,1,0,0,0,1,Y
WAS-7,2,9804,1888,1,1,0,0,2,Y
WAS-CHI,2,10046,2794,2,0,0,0,0,N
WDH-1,1,2318,351,0,0,0,1,0,N
WDH-2-1,1,2168,370,1,0,0,0,0,N
WDH-2-2,1,1885,111,0,0,0,1,1,Y
WDH-2-3,1,1952,324,1,0,0,0,0,N
WDH-3,2,6812,2087,2,0,0,0,0,N
WDH-4,2,7964,1095,2,2,0,0,0,Y
WDH-5,1,2291,386,1,0,0,0,0,N
WDH-6,1,2122,441,1,0,0,0,0,N
WDH-BEN,1,2155,103,1,0,0,0,1,Y
WDH-BEN-WDR,1,2546,267,0,0,0,0,1,N
WDR-1,2,8784,1859,2,1,0,0,1,Y
WDR-2,1,2302,112,1,1,0,0,0,Y
WDR-3-1,1,2183,289,0,0,0,1,0,N
WDR-3-2,2,7688,1088,2,2,0,0,1,Y
WDR-4-1,1,2428,498,0,0,0,1,0,N
WDR-4-2,2,7910,1420,2,2,0,0,0,Y
WDR-5,1,2648,137,1,1,0,0,0,Y
WDR-ORA-1,1,2066,51,1,1,0,0,0,Y
